Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2018-04-18,The Death of Stalin,2017,https://letterboxd.com/cindyshi/film/the-death-of-stalin/,4,,"cineplex, fifth ave",2018-04-17
2018-04-19,Final Portrait,2017,https://letterboxd.com/cindyshi/film/final-portrait/,1,,"cineplex, international village",2018-04-18
2018-04-21,Her,2013,https://letterboxd.com/cindyshi/film/her/,4.5,,,2018-04-20
2018-04-25,You Were Never Really Here,2017,https://letterboxd.com/cindyshi/film/you-were-never-really-here/,4.5,,"cineplex, fifth ave",2018-04-24
2018-04-26,Lean on Pete,2017,https://letterboxd.com/cindyshi/film/lean-on-pete/,1,,"cineplex, international village",2018-04-25
2018-04-27,Avengers: Infinity War,2018,https://letterboxd.com/cindyshi/film/avengers-infinity-war/,4,,"3d, cineplex, metrotown",2018-04-26
2018-05-02,The Rider,2017,https://letterboxd.com/cindyshi/film/the-rider/,4.5,,"cineplex, international village",2018-05-01
2018-05-04,Tully,2018,https://letterboxd.com/cindyshi/film/tully-2018/,4.5,,,2018-05-03
2018-05-05,Young Adult,2011,https://letterboxd.com/cindyshi/film/young-adult/,1.5,,,2018-05-04
2018-05-06,Carol,2015,https://letterboxd.com/cindyshi/film/carol-2015/,4.5,,netflix,2018-05-05
2018-05-07,Juno,2007,https://letterboxd.com/cindyshi/film/juno/,4.5,,,2018-05-06
2018-05-08,Boyhood,2014,https://letterboxd.com/cindyshi/film/boyhood/,5,,,2018-05-07
2018-05-09,Tangerine,2015,https://letterboxd.com/cindyshi/film/tangerine/,4.5,,netflix,2018-05-08
2018-05-10,Personal Shopper,2016,https://letterboxd.com/cindyshi/film/personal-shopper/,3,,,2018-05-09
2018-05-12,The Seagull,2018,https://letterboxd.com/cindyshi/film/the-seagull-2018/,3.5,,"cineplex, fifth ave",2018-05-11
2018-05-13,Sunset Boulevard,1950,https://letterboxd.com/cindyshi/film/sunset-boulevard/,4.5,,"park, cineplex",2018-05-12
2018-05-17,Blue Is the Warmest Color,2013,https://letterboxd.com/cindyshi/film/blue-is-the-warmest-color/,5,,netflix,2018-05-16
2018-05-18,Deadpool 2,2018,https://letterboxd.com/cindyshi/film/deadpool-2/,4,,"cineplex, marine drive",2018-05-17
2018-05-19,RBG,2018,https://letterboxd.com/cindyshi/film/rbg/,5,,"cineplex, fifth ave",2018-05-18
2018-05-20,My Life as a Zucchini,2016,https://letterboxd.com/cindyshi/film/my-life-as-a-zucchini/,4,,"viff, vancity",2018-05-19
2018-05-20,Disobedience,2017,https://letterboxd.com/cindyshi/film/disobedience-2017/,2.5,,"cineplex, international village",2018-05-19
2018-05-21,Little Miss Sunshine,2006,https://letterboxd.com/cindyshi/film/little-miss-sunshine/,3,,"rent, youtube",2018-05-20
2018-05-23,Book Club,2018,https://letterboxd.com/cindyshi/film/book-club-2018/,3.5,,"cineplex, fifth ave",2018-05-22
2018-05-24,A Bigger Splash,2015,https://letterboxd.com/cindyshi/film/a-bigger-splash-2015/,4.5,,netflix,2018-05-23
2018-05-25,American Animals,2018,https://letterboxd.com/cindyshi/film/american-animals/,3.5,,"viff, vancity, rupture",2018-05-24
2018-05-26,Ocean's Eleven,2001,https://letterboxd.com/cindyshi/film/oceans-eleven-2001/,4,,,2018-05-25
2018-05-27,Boyhood,2014,https://letterboxd.com/cindyshi/film/boyhood/1/,5,Yes,"itunes, rent",2018-05-26
2018-05-27,Hereditary,2018,https://letterboxd.com/cindyshi/film/hereditary/,3.5,,"viff, vancity, rupture",2018-05-26
2018-05-28,Damsel,2018,https://letterboxd.com/cindyshi/film/damsel-2018/,2.5,,"viff, vancity, rupture",2018-05-27
2018-05-30,Solo: A Star Wars Story,2018,https://letterboxd.com/cindyshi/film/solo-a-star-wars-story/,3,,"3d, cineplex, scotiabank",2018-05-29
2018-05-31,Mistress America,2015,https://letterboxd.com/cindyshi/film/mistress-america/1/,4.5,Yes,netflix,2018-05-30
2018-06-01,Orlando,1992,https://letterboxd.com/cindyshi/film/orlando/,4,,"viff, vancity",2018-05-31
2018-06-02,First Reformed,2017,https://letterboxd.com/cindyshi/film/first-reformed/,4,,"cineplex, fifth ave",2018-06-01
2018-06-03,Toni Erdmann,2016,https://letterboxd.com/cindyshi/film/toni-erdmann/,5,,netflix,2018-06-02
2018-06-03,Belgica,2016,https://letterboxd.com/cindyshi/film/belgica/,3.5,,netflix,2018-06-02
2018-06-04,Let the Sunshine In,2017,https://letterboxd.com/cindyshi/film/let-the-sunshine-in/,3,,"cineplex, international village",2018-06-03
2018-06-06,On Chesil Beach,2017,https://letterboxd.com/cindyshi/film/on-chesil-beach/,3.5,,"cineplex, fifth ave",2018-06-05
2018-06-08,The Incredibles,2004,https://letterboxd.com/cindyshi/film/the-incredibles/,4,,,2018-06-07
2018-06-09,Zama,2017,https://letterboxd.com/cindyshi/film/zama/,4,,cinematheque,2018-06-08
2018-06-10,Burning,2018,https://letterboxd.com/cindyshi/film/burning-2018/,4.5,,,2018-06-09
2018-06-10,Ocean's Eight,2018,https://letterboxd.com/cindyshi/film/oceans-eight/,4,,"cineplex, scotiabank",2018-06-09
2018-06-13,Vertigo,1958,https://letterboxd.com/cindyshi/film/vertigo/,5,,rio,2018-06-12
2018-06-14,Rebecca,1940,https://letterboxd.com/cindyshi/film/rebecca/,5,,,2018-06-13
2018-06-15,Bao,2018,https://letterboxd.com/cindyshi/film/bao-2018/,,,"cineplex, marine drive",2018-06-14
2018-06-15,Incredibles 2,2018,https://letterboxd.com/cindyshi/film/incredibles-2/,4,,"cineplex, marine drive",2018-06-14
2018-06-16,Certified Copy,2010,https://letterboxd.com/cindyshi/film/certified-copy/,2.5,,mubi,2018-06-15
2018-06-17,8½,1963,https://letterboxd.com/cindyshi/film/8-half/,4,,rio,2018-06-15
2018-06-17,Fast Film,2003,https://letterboxd.com/cindyshi/film/fast-film/,3,,mubi,2018-06-16
